Age,Sex,Country,Unemployment Rate (%),Year,Month
25+,Female,Ireland,0.096,2014,4
25+,Total,Norway,0.0279999999999999,2014,10
25+,Male,Iceland,0.052,2021,1
25+,Male,Iceland,0.049,2021,2
25+,Male,Iceland,0.048,2021,3
15-24,Male,Germany,0.076,2021,5
15-24,Female,Greece,0.44,2017,8
25+,Male,Iceland,0.045,2021,6
25+,Male,Iceland,0.032,2019,12
25+,Male,Iceland,0.034,2020,1
25+,Male,Iceland,0.037,2020,2
25+,Male,Iceland,0.04,2020,3
25+,Male,Iceland,0.043,2020,4
25+,Male,Iceland,0.047,2020,5
25+,Male,Iceland,0.051,2020,6
25+,Male,Iceland,0.053,2020,7
25+,Male,Iceland,0.055,2020,8
25+,Male,Iceland,0.031,2023,1
25+,Male,Iceland,0.032,2023,2
25+,Male,Iceland,0.054,2020,12
25+,Male,Iceland,0.023,2017,7
25+,Male,Iceland,0.024,2017,8
25+,Male,Iceland,0.024,2017,9
25+,Male,Iceland,0.025,2017,10
25+,Male,Iceland,0.025,2017,11
25+,Male,Iceland,0.025,2017,12
25+,Male,Iceland,0.025,2018,1
25+,Male,Iceland,0.025,2018,2
25+,Male,Iceland,0.024,2018,3
25+,Male,Iceland,0.024,2018,4
25+,Male,Iceland,0.024,2018,5
25+,Male,Iceland,0.024,2018,6
25+,Male,Iceland,0.024,2018,7
25+,Male,Iceland,0.024,2018,8
25+,Male,Iceland,0.024,2018,9
25+,Male,Iceland,0.024,2018,10
25+,Male,Iceland,0.025,2018,11
25+,Male,Iceland,0.026,2018,12
25+,Male,Iceland,0.026,2019,1
25+,Male,Iceland,0.027,2019,2
25+,Male,Iceland,0.0289999999999999,2019,3
25+,Male,Iceland,0.0289999999999999,2019,4
25+,Male,Iceland,0.03,2019,5
25+,Male,Iceland,0.047,2021,4
25+,Male,Iceland,0.046,2021,5
25+,Male,Iceland,0.031,2019,11
25+,Male,Iceland,0.031,2023,3
25+,Male,Iceland,0.031,2023,4
25+,Male,Iceland,0.031,2023,5
25+,Male,Iceland,0.031,2023,6
25+,Male,Iceland,0.031,2023,7
25+,Male,Iceland,0.031,2023,8
25+,Male,Iceland,0.03,2023,9
25+,Male,Iceland,0.03,2023,10
25+,Male,Iceland,0.03,2023,11
25+,Male,Iceland,0.031,2023,12
25+,Male,Iceland,0.031,2024,1
25+,Male,Iceland,0.031,2024,2
25+,Male,Iceland,0.03,2024,3
25+,Male,Iceland,0.0289999999999999,2024,4
25+,Male,Iceland,0.0289999999999999,2024,5
25+,Male,Iceland,0.0279999999999999,2024,6
25+,Male,Iceland,0.0279999999999999,2024,7
25+,Male,Iceland,0.043,2014,1
25+,Male,Iceland,0.042,2014,2
25+,Male,Iceland,0.0409999999999999,2014,3
25+,Male,Iceland,0.04,2014,4
25+,Male,Iceland,0.039,2014,5
25+,Male,Iceland,0.038,2014,6
25+,Male,Iceland,0.037,2014,7
25+,Male,Iceland,0.037,2014,8
25+,Male,Iceland,0.036,2014,9
25+,Male,Iceland,0.035,2014,10
25+,Male,Iceland,0.034,2014,11
25+,Male,Iceland,0.033,2014,12
25+,Male,Iceland,0.033,2015,1
25+,Male,Iceland,0.033,2015,2
25+,Male,Iceland,0.032,2015,3
25+,Male,Iceland,0.031,2015,4
25+,Male,Iceland,0.031,2015,5
25+,Male,Iceland,0.03,2015,6
25+,Male,Iceland,0.03,2015,7
25+,Male,Iceland,0.03,2015,8
25+,Male,Iceland,0.03,2015,9
25+,Male,Iceland,0.0289999999999999,2015,10
25+,Male,Iceland,0.0289999999999999,2015,11
25+,Male,Iceland,0.0279999999999999,2015,12
25+,Male,Iceland,0.0279999999999999,2016,1
25+,Male,Iceland,0.027,2016,2
25+,Male,Iceland,0.027,2016,3
25+,Male,Iceland,0.025,2016,4
25+,Male,Iceland,0.024,2016,5
25+,Male,Iceland,0.023,2016,6
25+,Male,Iceland,0.023,2016,7
25+,Male,Iceland,0.023,2016,8
